step,ee_x,ee_y,ee_z,grip,a0,a1,a2,a3,a4,a5,a6,a7
0,0.49905118,-5.5522818e-05,0.44957528,0.040388282,0.0009488303330726922,5.5522818001918495e-05,0.0004247130418661982,0.003698785789310932,0.0009547951049171388,0.20038378238677979,-0.979710042476654,0.2838652431964874
1,0.49920774,0.00027445782,0.4496316,0.040388282,0.0007811213145032525,0.005483691580593586,-0.0010885600931942463,0.003618688089773059,0.0009754030616022646,0.20831488072872162,-0.9780546426773071,0.11620873212814331
2,0.49923274,0.00034110306,0.4496318,0.040388282,0.0007429221295751631,0.008552640676498413,-0.0018912199884653091,0.003597441129386425,0.0009693033061921597,0.20663891732692719,-0.9784101843833923,0.03239995986223221
3,0.4992472,0.00054695265,0.4496151,0.040388282,0.0007165499846450984,0.010151139460504055,-0.002344745211303234,0.003579094773158431,0.0009528322843834758,0.2052605301141739,-0.9787003397941589,-0.009453454986214638
4,0.499346,0.001861132,0.44936046,0.040388282,0.0006505667697638273,0.0109945610165596,-0.0027364117559045553,0.0033151162788271904,0.000636748387478292,0.19109582901000977,-0.9815655946731567,-0.030500516295433044
5,0.49942365,0.0027690015,0.44914216,0.040388282,0.0006185453967191279,0.012129268608987331,-0.0031586969271302223,0.0032910562586039305,0.00046223390381783247,0.1760648787021637,-0.9843729734420776,-0.04092887416481972
6,0.4995095,0.003834853,0.4489086,0.040388282,0.0006174551090225577,0.013028058223426342,-0.0035251029767096043,0.0033184646163135767,0.00028310687048360705,0.1593853086233139,-0.9872108101844788,-0.04610908776521683
7,0.49957758,0.0050388486,0.44868195,0.040388282,0.0006806582096032798,0.013686353340744972,-0.0038507168646901846,0.0033008367754518986,8.822897507343441e-05,0.14664800465106964,-0.989183247089386,-0.04870855435729027
8,0.49966216,0.006651953,0.4483438,0.040388282,0.0008214482804760337,0.013814964331686497,-0.004056646954268217,0.003256926080211997,-0.00023147730098571628,0.13056223094463348,-0.9914347529411316,-0.04989653825759888
9,0.49975842,0.008243963,0.44801393,0.040388282,0.0010465034283697605,0.013977818191051483,-0.004256552085280418,0.0031030543614178896,-0.0005846354179084301,0.11753314733505249,-0.9930639266967773,-0.051048893481492996
10,0.49986574,0.009534469,0.44772378,0.040388282,0.0012367113959044218,0.014038918539881706,-0.004366197157651186,0.0029944449197500944,-0.0008900755783542991,0.1077125072479248,-0.9941771626472473,-0.0510382205247879
11,0.49998423,0.011320165,0.44737092,0.040388282,0.001513174269348383,0.013667555525898933,-0.004438280127942562,0.002913797041401267,-0.0012545373756438494,0.09552635997533798,-0.995421826839447,-0.051300764083862305
12,0.5000828,0.01243154,0.44710982,0.040387955,0.0017696463037282228,0.013695023953914642,-0.004544647876173258,0.0028798889834433794,-0.0015176048036664724,0.08820934593677521,-0.9960966110229492,-0.051435817033052444
13,0.5002149,0.01367524,0.44683793,0.040387955,0.001911723637022078,0.01331251859664917,-0.004565918818116188,0.0028152635786682367,-0.001794391660951078,0.08088137954473495,-0.996718168258667,-0.05117643252015114
